kit_id,kit_codigo,kit_nome,kit_saldo_pacotes,kit_qtd_pacote,kit_equiv_unidades,kit_valor_estoque,simples_id,simples_codigo,simples_nome,simples_saldo,simples_valor_estoque,simples_receita_12m,score_jaccard,bate_numericamente,diff_pct,nivel_confianca
442848562,16594,RESPIRADOR PFF1 SEM VÁLVULA TIPO CONCHA CONFORT M1100BR - DELTA PLUS (10 UNID),19,10.0,190,986.6282,442848557,16593,RESPIRADOR PFF1 SEM VÁLVULA TIPO CONCHA CONFORT M1100BR - DELTA PLUS,190,986.6282,979.2,1.0,True,0.0,1
413440095,12635,RESPIRADOR PFF2 9320 BR AURA 3M - SEM VÁLVULA (10 UNID),79,10.0,790,6407.8875,413412836,12633,RESPIRADOR PFF2 9320 BR AURA - 3M (S/ VÁLVULA),790,6171.48,46768.55,1.0,True,0.0,1
416483591,12673,RESPIRADOR PFF2 9822 BR 3M - COM VÁLVULA (50 UNID),0,50.0,0,0.0,413440137,12636,RESPIRADOR PFF2 9822 BR - 3M (C/ VÁLVULA),0,0.0,40344.36,1.0,True,1.0,1
418304418,13100,RESPIRADOR PFF2 BRANCO SL2750 TAYCO - SEM VÁLVULA (100 UNID),0,100.0,0,0.0,418304402,13099,RESPIRADOR PFF2 BRANCO SL2750 - TAYCO (S/ VÁLVULA),0,0.0,0.0,1.0,True,1.0,1
418072079,13097,RESPIRADOR PFF2 BRANCO SUPER SAFETY - SEM VÁLVULA (100 UNID),0,100.0,0,0.0,418072064,13096,RESPIRADOR PFF2 BRANCO - SUPER SAFETY (S/ VÁLVULA),0,0.0,0.0,1.0,True,1.0,1
435857070,14486,RESPIRADOR PFF2 COM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),0,100.0,0,0.0,435857063,14505,RESPIRADOR PFF2 COM VÁLVULA PRO SAFETY - DELTA PLUS,0,0.0,116145.26,1.0,True,1.0,1
442848640,16598,RESPIRADOR PFF2 COM VÁLVULA TIPO CONCHA CONFORT M1200VBR - DELTA PLUS (10 UNID),65,10.0,650,4153.357,442848637,16597,RESPIRADOR PFF2 COM VÁLVULA TIPO CONCHA CONFORT M1200VBR - DELTA PLUS,650,4153.357,1418.22,1.0,True,0.0,1
418071798,13095,RESPIRADOR PFF2 PRETO SUPER SAFETY - SEM VÁLVULA (100 UNID),0,100.0,0,0.0,418071781,13094,RESPIRADOR PFF2 PRETO - SUPER SAFETY (S/ VÁLVULA),0,0.0,0.0,1.0,True,1.0,1
437632290,14686,RESPIRADOR PFF2 SEM VÁLVULA 9820 BR - 3M (100 UNID),7,100.0,700,2778.3,437632287,14685,RESPIRADOR PFF2 SEM VÁLVULA 9820 BR - 3M,729,2927.84625,17436.59,1.0,True,0.039780521262002745,1
435856492,14487,RESPIRADOR PFF2 SEM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),1,100.0,100,105.525,435857063,14505,RESPIRADOR PFF2 COM VÁLVULA PRO SAFETY - DELTA PLUS,0,0.0,116145.26,1.0,False,1.0,3
442848548,16592,RESPIRADOR PFF2 SEM VÁLVULA TIPO CONCHA CONFORT M1200BR - DELTA PLUS (10 UNID),126,10.0,1260,7048.4904,442848543,16591,RESPIRADOR PFF2 SEM VÁLVULA TIPO CONCHA CONFORT M1200BR - DELTA PLUS,1260,7048.4904,2133.41,1.0,True,0.0,1
440758301,16300,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA 8023 - 3M (10 UNID),85,10.0,850,19666.2375,440587697,16180,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA 8023 - 3M,850,17310.0375,7168.99,1.0,True,0.0,1
435858039,14519,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),0,100.0,0,0.0,435858036,14510,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA PRO SAFETY - DELTA PLUS ,0,0.0,32229.85,1.0,True,1.0,1
442848722,16600,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA TIPO CONCHA CONFORT M1200VWBR - DELTA PLUS (10 UNID),31,10.0,310,2305.0298,442848718,16599,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA TIPO CONCHA CONFORT M1200VWBR - DELTA PLUS,310,2305.0298,662.21,1.0,True,0.0,1
435858078,14518,RESPIRADOR PFF2 VO CARVÃO ATIVADO SEM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),20,100.0,2000,3685.5,435858036,14510,RESPIRADOR PFF2 VO CARVÃO ATIVADO COM VÁLVULA PRO SAFETY - DELTA PLUS ,0,0.0,32229.85,1.0,False,1.0,3
442848846,16602,RESPIRADOR PFF2 VO CARVÃO ATIVADO SEM VÁLVULA TIPO CONCHA CONFORT M1200WBR - DELTA PLUS (10 UNID),15,10.0,150,962.7195,442848829,16601,RESPIRADOR PFF2 VO CARVÃO ATIVADO SEM VÁLVULA TIPO CONCHA CONFORT M1200WBR - DELTA PLUS,150,962.7195,289.87,1.0,True,0.0,1
435858031,14490,RESPIRADOR PFF3 COM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),10,100.0,1000,1827.0,435858016,14509,RESPIRADOR PFF3 COM VÁLVULA PRO SAFETY - DELTA PLUS,1000,1827.0,55666.35,1.0,True,0.0,1
442848057,16590,RESPIRADOR PFF3 COM VÁLVULA TIPO CONCHA CONFORT M1300VBR - DELTA PLUS (10 UNID),163,10.0,1630,11441.296,442848008,16589,RESPIRADOR PFF3 COM VÁLVULA TIPO CONCHA CONFORT M1300VBR - DELTA PLUS,1630,11441.296,2793.18,1.0,True,0.0,1
435857188,14491,RESPIRADOR PFF3 SEM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),45,100.0,4500,7229.25,435858016,14509,RESPIRADOR PFF3 COM VÁLVULA PRO SAFETY - DELTA PLUS,1000,1827.0,55666.35,1.0,False,0.7777777777777778,3
442847708,16588,RESPIRADOR PFF3 SEM VÁLVULA TIPO CONCHA CONFORT M1300BR - DELTA PLUS (10 UNID),20,10.0,200,1145.97,442847606,16587,RESPIRADOR PFF3 SEM VÁLVULA TIPO CONCHA CONFORT M1300BR - DELTA PLUS,200,1145.97,0.0,1.0,True,0.0,1
442993664,16617,TRAVESSEIRO ABSORVENTE DE ÓLEO 23 X 23 CM - BIOSOLVIT (50 UNID),5,50.0,250,1960.875,442993654,16616,TRAVESSEIRO ABSORVENTE DE ÓLEO 23 X 23 CM - BIOSOLVIT,250,1960.875,836.16,1.0,True,0.0,1
442993691,16619,TRAVESSEIRO ABSORVENTE DE ÓLEO 45 X 45 CM - BIOSOLVIT (12 UNID),4,12.0,48,849.744,442993654,16616,TRAVESSEIRO ABSORVENTE DE ÓLEO 23 X 23 CM - BIOSOLVIT,250,1960.875,836.16,1.0,False,0.808,3
